"Stock Code","Description","Unit"
" AUEXCST000073","Southpack 15s – 200s labour   (Rec)","EACH"
"001902","Sheep Placenta 15000mg         Soft Gel Capsule (SC)        (Non-Pharm)","CAPS"
"35","Cnsr Knight Propolis 400mg/mL 25mL (V02)","EACH"
"36","Vaccinium Macrocarpon         (Cranberry) (Malto) (50E:50W) 100:1 (Pharm)","KG"
"37","Vaccinium Macrocarpon         (Cranberry) (Malto) (50E:50W) 100:1 (Pharm)","KG"
"AUAM000014","4 STOCK TAKE","LT"
"AUAM000043","Nitrogen (Food)","EACH"
"AUAM000044","Carbon Dioxide (Food)","EACH"
"AUAM000045","Nitrogen and Carbon Dioxide   Gas Mixture (Food)","EACH"
"AUAM000056","Laundry Washing Powder","BAG"
"AUAM000057","Propylene Glycol Liquid       (BP/USP/FCC)","LT"
"AUAM000058","Food Grade Chain Lube         (FG03055)","EACH"
"AUAM000059","Food Grade Penetrating Oil    (FG03086)","EACH"
"AUAM000060","Food Grade Silicone           (FG03040)","EACH"
"AUAM000061","Food Grade Machine Oil        (FG03081)","EACH"
"AUAM000062","Food Grade Oil (62684 ISO 68)","EACH"
"AUAM000063","Food Grade Oil (62686 ISO 150)","EACH"
"AUAM000064","Food Grade Oil (62682 ISO 32)","EACH"
"AUBG000001","Propolis 200mg/mL Liquid      (Pharm)","KG"
"AUBG000002","Propolis 250mg/mL Liquid      (Pharm)","KG"
"AUBG000003","Propolis 300mg/mL Liquid      (Pharm)","KG"
"AUBG000004","Propolis 400mg/mL Liquid      (Pharm)","KG"
"AUBG000005","Propolis 500mg/mL Liquid      (Pharm)","KG"
"AUBG000007","Propolis 200mg/mL Tincture    (Pharm)","KG"
"AUBG000008","Propolis 250 mg/mL Tincture   (Pharm)","KG"
"AUBG000009","Propolis 300mg/mL Tincture    (Pharm)","KG"
"AUBG000010","Propolis 400mg/mL Tincture    (Pharm)","KG"
"AUBG000024","Goat's Milk Tablets Natural   200mg (BULK)","TABS"
"AUBG000025","Run Cheng Tang                Kung Fu Oil  (Pharm)","KG"
"AUBG000027","Shark Cartilage 500mg         Hard Shell Capsules (Pharm)","CAPS"
"AUBG000028","Chitosan 250mg HS Caps","CAPS"
"AUBG000029","Royal Jell 400mg HS Caps","CAPS"
"AUBG000030","Placenta 2500mg HS Caps","CAPS"
"AUBG000032","Natural Fibre Mixture","KG"
"AUBG000033","Royal Jell 500mg HS Caps","CAPS"
"AUBG000039","Kangaroo 1000mg Hard Shell    Capsules (Maroon)             (Non-Pharm)","CAPS"
"AUBG000040","Goat's Milk 200mg & Propolis  Tablets","TABS"
"AUBG000041","RBK Royal Jelly 1000mg        (20mg 10-HDA) HS Cap","CAPS"
"AUBG000043","Shark Cartilage 750mg         Hard Shell Capsules (Pharm)","CAPS"
"AUBG000046","Placenta 2000mg HS Capsules   (Yellow Placentra Capsules)   (JoJo International)","CAPS"
"AUBG000048","ABL/OPAL Abalone 500mg AFW    Hard Shell Capsules (Brown)   (Non-pharm)","CAPS"
"AUBG000049","Glucosamine 500mg Complex     HS Capsules (White)           (Non-pharm)","CAPS"
"AUBG000050","Emu Fire Eczema, Dermatitis   & Psoriasis Cream Medicated   (Pharm)","KG"
"AUBG000051","Emu Fire Arthritis Relief &   Muscular Aches & Pains Balm   Medicated (Pharm)","KG"
"AUBG000052","Emu Fire Haemorrhoid Relief   Cream Medicated (Pharm)","KG"
"AUBG000055","RBK Royal Jelly 500mg HS Caps","CAPS"
"AUBG000057","ABL Colostrum Milk powder","KG"
"AUBG000059","J&B Trans Wood Lock Liniment  (Pharm)","KG"
