"Stock Code","Description","Unit"
" AUEXCST000073","Southpack 15s – 200s labour","EACH"
"001902","Sheep Placenta 15000mg","CAPS"
"35","Cnsr Knight Propolis 400mg/mL","EACH"
"36","Vaccinium Macrocarpon","KG"
"37","Vaccinium Macrocarpon","KG"
"AUAM000014","4 STOCK TAKE","LT"
"AUAM000043","Nitrogen (Food)","EACH"
"AUAM000044","Carbon Dioxide (Food)","EACH"
"AUAM000045","Nitrogen and Carbon Dioxide","EACH"
"AUBG000001","Propolis 200mg/mL Liquid","KG"
"AUBG000002","Propolis 250mg/mL Liquid","KG"
"AUBG000003","Propolis 300mg/mL Liquid","KG"
"AUBG000004","Propolis 400mg/mL Liquid","KG"
"AUBG000005","Propolis 500mg/mL Liquid","KG"
"AUBG000007","Propolis 200mg/mL Tincture","KG"
"AUBG000008","Propolis 250 mg/mL Tincture","KG"
"AUBG000009","Propolis 300mg/mL Tincture","KG"
"AUBG000010","Propolis 400mg/mL Tincture","KG"
"AUBG000024","Goat's Milk Tablets Natural","TABS"
"AUBG000025","Run Cheng Tang","KG"
"AUBG000027","Shark Cartilage 500mg","CAPS"
"AUBG000028","Chitosan 250mg HS Caps","CAPS"
"AUBG000029","Royal Jell 400mg HS Caps","CAPS"
"AUBG000030","Placenta 2500mg HS Caps","CAPS"
"AUBG000032","Natural Fibre Mixture","KG"
"AUBG000033","Royal Jell 500mg HS Caps","CAPS"
"AUBG000039","Kangaroo 1000mg Hard Shell","CAPS"
"AUBG000040","Goat's Milk 200mg & Propolis","TABS"
"AUBG000041","RBK Royal Jelly 1000mg","CAPS"
"AUBG000043","Shark Cartilage 750mg","CAPS"
"AUBG000046","Placenta 2000mg HS Capsules","CAPS"
"AUBG000048","ABL/OPAL Abalone 500mg AFW","CAPS"
"AUBG000049","Glucosamine 500mg Complex","CAPS"
"AUBG000050","Emu Fire Eczema, Dermatitis","KG"
"AUBG000051","Emu Fire Arthritis Relief &","KG"
"AUBG000052","Emu Fire Haemorrhoid Relief","KG"
"AUBG000055","RBK Royal Jelly 500mg HS Caps","CAPS"
"AUBG000057","ABL Colostrum Milk powder","KG"
"AUBG000059","J&B Trans Wood Lock Liniment","KG"
"AUBG000063","Trans Wood Lock Liniment","KG"
"AUBG000064","Kangaroo 1000mg Hard Shell","CAPS"
"AUBG000067","Royal Jelly 400mg HS Cap","CAPS"
"AUBG000068","Baby Sheep 1000mg Hard Shell","CAPS"
"AUBG000069","Korda Monascus Purpureus","CAPS"
"AUBG000070","Royal Jelly 500mg HS Cap","CAPS"
"AUBG000074","Ginkgo 3000mg HS Capsules","CAPS"
"AUBG000075","Baby Sheep 1000mg Hard Shell","CAPS"
"AUBG000077","Ginkgo 2000mg Tablets","TABS"
"AUBG000079","Colostrum 10 mg IgG Tablets","TABS"
"AUBG000081","Propolis Powder Mix 5:1","KG"
"AUBG000082","Colostrum 60mg IgG Tablets","TABS"
"AUBG000083","Baby Sheep 1000mg Hard Shell","CAPS"
"AUBG000085","Baby Sheep 1000mg Hard Shell","CAPS"
"AUBG000086","ABL Grape Seed Hard Shell","CAPS"
"AUBG000087","Baby Sheep 1000mg HS","CAPS"
"AUBG000088","ABL Lecithin & St Mary Herb","CAPS"
"AUBG000094","Chitosan 250mg Hard Shell","CAPS"
"AUBG000098","Spirulina 475mg HS Cap (BULK)","CAPS"
"AUBG000099","Colostrum 15mg IgG Tablets","TABS"
"AUBG000100","Baby Sheep 1,000mg","CAPS"
"AUBG000102","Mothernest 750mg AFW","CAPS"
"AUBG000105","Baby Sheep 1,000mg HS Capsules","CAPS"
"AUBG000109","Goat's Milk 250mg Tablets","TABS"
"AUBG000111","Bee Pollen & Spirulina Hard","CAPS"
"AUBG000112","Milk Tablets 250mg Strawberry","TABS"
"AUBG000114","Goat's Milk 250mg Tablet 725mg","TABS"
"AUBG000115","Milk Tablets 250mg (Orange)","TABS"
"AUBG000116","Liver Tonic HS Capsules (BULK)","CAPS"
"AUBG000117","Milk Tablets 250mg (Chocolate)","TABS"
"AUBG000119","Placenta Cream (BULK)","KG"
"AUBG000120","Milk Tablets 250mg (Plain)","TABS"
"AUBG000121","Kangaroo 1000mg HS Capsules","CAPS"
"AUBG000122","Placenta 4000mg HS Cap","CAPS"
"AUBG000123","Goat's Milk 250mg Tablet 725mg","TABS"
"AUBG000124","J&B Placenta 2,000mg HS Cap","CAPS"
"AUBG000128","Goat's Milk 200mg Tablets","TABS"
"AUBG000131","Goat's Milk 250mg Tablets","TABS"
"AUBG000133","Placenta 4000mg HS Cap","CAPS"
"AUBG000134","Chitosan & Psyllium Fibre","KG"
"AUBG000135","Goat's Milk 200mg Tablets","TABS"
"AUBG000138","Goat's Milk 250mg Tablet 725mg","TABS"
"AUBG000141","Propolis 300mg/mL Tincture","KG"
"AUBG000142","Colostrum 25mg IgG Tablets","TABS"
"AUBG000145","Goat's Milk 200mg Tablets","TABS"
"AUBG000146","Colostrum 12mg IGG Tablets","TABS"
"AUBG000147","Goat' Milk 200mg Tablets 725mg","TABS"
"AUBG000150","Goat's Milk 200mg Tablets","TABS"
"AUBG000153","Milk Tablets 250mg Propolis","TABS"
"AUBG000154","Royal Jelly 500mg (equiv 4%)","CAPS"
"AUBG000155","Milk Tablets 350mg (Chocolate)","TABS"
"AUBG000156","South Aust Shark Cartilage","CAPS"
"AUBG000157","Propolis 60mg/g Ointment","KG"
"AUBG000158","Milk Tablets 350mg Strawberry","TABS"
"AUBG000159","Baby Sheep 2500mg HS Capsules","CAPS"
"AUBG000160","Milk Tablets 350mg (Orange)","TABS"
"AUBG000162","Milk Tablets 350mg (Plain)","TABS"
"AUBG000163","Mothernest Shark Cartilage","CAPS"
"AUBG000164","Colostrum 45mg IgG Tablets","TABS"
"AUBG000165","Milk Tablets 350mg","TABS"
"AUBG000166","Placenta 2,500mg & Colostrum","CAPS"
"AUBG000167","Kangaroo 2500mg Hard Shell","CAPS"
